id,city,name,address,neigborhood,zip,county,type,latitude,longitude
1271,NYC,2259 HARLEM FRESH MARKET CORP,2259 A C P JR BOULEVARD,NEW YORK,10027,MANHATTAN,GROCERY SUPERMARKET,40.810996190000026,-73.94895836699999
1839,Chautauqua,KWIK FILL #MO23,161 FLUVANNA AVENUE,JAMESTOWN,14701,JAMESTOWN,CONVENIENCE/GAS,42.114182793000055,-79.24752830599994
1668,Cattaraugus,FAMILY DOLLAR #2129,100 MAIN ST.,SALAMANCA,14779,SALAMANCA,DISCOUNT STORE,42.15846333600007,-78.71491965799999
1755,Clinton,BUCK'S CARWASH,6048 ROUTE 22,PLATTSBURGH,12901,PLATTSBURGH,CONVENIENCE STORE,44.72090478900003,-73.47027835699998
1135,NYC,MADINA FOOD CORP,MADINA STJOHNS PLACE,BROOKLYN,11213,NEW YORK CITY,GROCERY SUPERMARKET,40.67070746400003,-73.93422004399997
1618,Broome,HARASH STOP AND SHOP,109 WASHINGTON AVENUE,ENDICOTT,13760,UNION,CONVENIENCE STORE,42.102043759000026,-76.04811376399994
1112,NYC,CNCHAIN INC,109-20 HILLSIDE AVENUE,HOLLIS,11423,QUEENS,CONVENIENCE STORE,40.71784835100004,-73.76629977899995
1795,Broome,SPEEDWAY #07725,61 GLENWOOD AVENUE,BINGHAMTON,13905,BINGHAMTON,CONVENIENCE/GAS,42.11207805500004,-75.93895080799996
1269,NYC,SPEEDWAY LLC,914 CONEY ISALND  AVENUE,BROOKLYN,11230,BROOKLYN,CONVENIENCE/GAS,40.63490138000003,-73.96756380899996
1785,Albany,SMOKERS CHOICE,485 DELAWARE AVENUE,ALBANY,12209,ALBANY,TOBACCO RETAIL,42.63971871600006,-73.78559405099998
1756,Allegany,ARROW MART - ALFRED STATION,916 ROUTE 244,ALFRED STATION,14803,ALFRED,CONVENIENCE/GAS,42.266028918000075,-77.77767883499996
1141,NYC,HERBAL LIFE CO INC,36711B PRINCE  STREET,FLUSHING,11354,NEW YORK CITY,TOBACCO RETAIL,40.76251017800007,-73.83322184699995
1508,Oneonta DO,NEW BALTIMORE TRAVEL PLAZA,NYS TRUWAY REST STOP,NEW BALTIMORE,12124,NEW BALTIMORE,OTHER,42.44635415300007,-73.78967379299996
1232,NYC,JEROME 2466 DELI CORP,2466 JERMONE  AVENUE,BRONX,10468,NEW YORK CITY,GROCERY SUPERMARKET,40.86579880600004,-73.90187901999997
1753,Cayuga,PIT STOP #13,1021 STATE ROUTE 34,GENOA,13071,GENOA,CONVENIENCE/GAS,42.664080213000034,-76.52745829999998
1188,NYC,ALEX FOOD II CORP,1615 MLK JR  BOULEVARD,BRONX,10453,BRONX,GROCERY SUPERMARKET,40.84752662000005,-73.91977232499994
1187,NYC,NELSON AVE MINI MARKET CORP,9092 WEST 165 TH STREET,BRONX,10456,NEW YORK CITY,GROCERY SUPERMARKET,40.83431181100008,-73.92820553599995
1423,Herkimer DO,QUICKWAY,1 EAST MAIN STREET,WEST WINFIELD,13491,WINFIELD,CONVENIENCE/GAS,42.885797869000044,-75.18722765999996
1652,Broome,DOLLAR GENERAL STORE #10141,2658 NY 26 ROUTE,MAINE,13802,MAINE,DISCOUNT STORE,42.19848995600006,-76.05821147499995
1864,Chemung,RITE AID PHARMACY #00260,1000 PENNSYLVANIA AVENUE,ELMIRA,14904,SOUTHPORT,PHARMACY,42.06006589700007,-76.81157564899996
1046,NYC,ST NICHOLAS GOURMET DELI INC,781 ST NICHOLAS AVENUE,NEW YORK,10031,MANHATTAN,DELICATESSEN,40.82680417600005,-73.94306195899998
1425,Herkimer DO,SCHUYLER SERVICE AREA,MILE POST 227W,SCHUYLER,13340,FRANKFORT,CONVENIENCE STORE,43.03428022800006,-75.07060515799998
1954,Albany,PRICE CHOPPER #245,515 19TH STREET,WATERVLIET,12189,WATERVLIET,GROCERY SUPERMARKET,42.731166227000074,-73.70515321499994
1078,NYC,RASHIDA MONDOL,N/E/C 74TH/37TH ROAD STREET,JACKSON HEIGHTS,11372,QUEENS,STAND,40.75198399400006,-73.88331056899995
1329,Geneva DO,RED APPLE / KWIK FILL M0027,98   ROUTE 104 ROUTE,ONTARIO,14519,ONTARIO,CONVENIENCE/GAS,43.223736220000035,-77.37357722999997
1037,NYC,ALKA A PATEL,N/W/C GREENWICH & BARCLAY STREET,NEW YORK,10007,MANHATTAN,STAND,40.71284709500003,-74.00825412299997
1741,Albany,SUNOCO- B-WAY,795 BROADWAY BOULEVARD,ALBANY,12207,ALBANY,CONVENIENCE/GAS,42.657732579000026,-73.74799202399998
1717,Chenango,SMOKERS CHOICE,5629 STATE HIGHWAY 12,NORWICH,13815,NORWICH,TOBACCO RETAIL,42.514730100000065,-75.52306506299993
1919,Broome,A 2 MART,1550 UNION CENTER HIGHWAY,ENDICOTT,13760,UNION,CONVENIENCE/GAS,42.09753302100006,-76.06552620599996
